RI_URL,CRN,PrimaryNameOfOrganization,City,Province,RankingAssets
http://www.themastercardfoundation.org,817387277RR0001,MASTERCARD FOUNDATION,TORONTO,ON,1
http://www.solitudenaturereserve.com/,844636605RR0001,PHIL MCNAMEE CHARITABLE FOUNDATION,GRAND BEND,ON,2
http://www.azrielifoundation.org,892425166RR0001,THE AZRIELI FOUNDATION LA FONDATION AZRIELI,MONTREAL,QC,3
https://www.fondationchagnon.org/en/index.aspx,867363640RR0001,FONDATION LUCIE ET ANDR� CHAGNON LUCIE AND ANDR� CHAGNON FOUNDATION,MONTREAL,QC,4
http://www.jcfmontreal.org,118974179RR0001,JEWISH COMMUNITY FOUNDATION OF MONTREAL LA FOUNDATION COMMUNAUTAIRE JUIVE DE MONTREAL,MONTREAL,QC,5
http://www.wpgfdn.org/,119300960RR0001,THE WINNIPEG FOUNDATION,WINNIPEG,MB,6
https://www.fcm.ca/en,734668890RR0001,GREEN MUNICIPAL FUND,OTTAWA,ON,7
www.vancouverfoundation.ca,119281640RR0001,VANCOUVER FOUNDATION,VANCOUVER,BC,8
https://www.sickkidsfoundation.com,108084419RR0001,THE HOSPITAL FOR SICK CHILDREN FOUNDATION,TORONTO,ON,9
https://giftfunds.com/,896713500RR0001,CHARITABLE GIFT FUNDS CANADA FOUNDATION FONDS DE BIENFAISANCE CANADA,KINGSTON,ON,10
http://www.calgaryfoundation.org,108074436RR0001,THE CALGARY FOUNDATION,CALGARY,AB,11
https://www.lksf.org/locations/canada/,857269971RR0001,LI KA SHING (CANADA) FOUNDATION,TORONTO,ON,12
https://www.tgwhf.ca/,123864068RR0001,UHN FOUNDATION,TORONTO,ON,14
https://thepmcf.ca/Home,889007597RR0001,THE PRINCESS MARGARET CANCER FOUNDATION,TORONTO,ON,16
http://www.cssd.ab.ca,106831118RR0004,THE CALGARY ROMAN CATHOLIC SEPARATE SCHOOL DIVISION,CALGARY,AB,18
https://torontofoundation.ca/,136491875RR0001,TORONTO FOUNDATION,TORONTO,ON,19
https://www.td.com/ca/products-services/investing/privategiving-index.jsp,857210744RR0001,PRIVATE GIVING FOUNDATION,TORONTO,ON,20
https://www.ecfoundation.org/,122437072RR0001,THE EDMONTON COMMUNITY FOUNDATION,EDMONTON,AB,21
https://mcconnellfoundation.ca/,119240091RR0001,THE J W MCCONNELL FAMILY FOUNDATION - LA FONDATION DE LA FAMILLE J W MCCONNELL,MONTREAL,QC,23
https://www.jewishfoundationtoronto.com/,108155797RR0002,JEWISH FOUNDATION OF GREATER TORONTO,TORONTO,ON,24
http://www.bcchf.ca,118852433RR0001,BRITISH COLUMBIA'S CHILDREN'S HOSPITAL FOUNDATION,VANCOUVER,BC,28
https://www.charitableimpact.com/,845528827RR0001,CHIMP CHARITABLE IMPACT FOUNDATION (CANADA),VANCOUVER,BC,30
https://www.joycefamilyfoundation.com/,888159266RR0001,THE JOYCE FAMILY FOUNDATION,BURLINGTON,ON,31
http://vghfoundation.ca/,132173063RR0001,VGH & UBC HOSPITAL FOUNDATION,VANCOUVER,BC,33
http://www.westonfoundation.org,889015194RR0001,WESTON FAMILY FOUNDATION FONDATION DE LA FAMILLE WESTON,TORONTO,ON,34
https://benefaction.ca/,804213759RR0001,BENEFACTION FOUNDATION,TORONTO,ON,36
https://www.concordia.ca/alumni-friends/about-us/concordia-university-foundation.html,890800188RR0001,CONCORDIA UNIVERSITY FOUNDATION FONDATION DE L'UNIVERSITE CONCORDIA,MONTREAL,QC,37
https://www.audainfoundation.ca,878890060RR0001,AUDAIN FOUNDATION,VANCOUVER,BC,41
https://victoriafoundation.bc.ca/,130650898RR0001,VICTORIA FOUNDATION,VICTORIA,BC,42
http://www.jghfoundation.org,104872304RR0001,THE SIR MORTIMER B. DAVIS JEWISH GENERAL HOSPITAL FOUNDATION FONDATION DE L'HOPITAL GENERAL JUIF S,MONTREAL,QC,43
https://sunnybrook.ca/foundation/,899209118RR0001,SUNNYBROOK HEALTH SCIENCES CENTRE FOUNDATION,TORONTO,ON,45
http://www.childrenshospital.ab.ca/site/PageServer?pagename=home_template,130373244RR0001,ALBERTA CHILDREN'S HOSPITAL FOUNDATION,CALGARY,AB,48
http://www.helpstpauls.com,119257939RR0001,ST. PAUL'S FOUNDATION OF VANCOUVER,VANCOUVER,BC,50
https://www.camh.ca/,106932320RR0001,CENTRE FOR ADDICTION AND MENTAL HEALTH FOUNDATION,TORONTO,ON,55
http://www.stmichaelsfoundation.com,122963663RR0001,ST. MICHAEL'S HOSPITAL FOUNDATION,TORONTO,ON,56
http://www.fgmtl.org/,881979124RR0001,LA FONDATION DU GRAND MONTREAL THE FOUNDATION OF GREATER MONTREAL,MONTREAL,QC,58
https://hennickcentre.ca/about/jay-and-barbara-hennick/,840790950RR0001,THE JAY AND BARBARA HENNICK FAMILY FOUNDATION,TORONTO,ON,62
https://www.hamiltoncommunityfoundation.ca/,130527427RR0001,HAMILTON COMMUNITY FOUNDATION,HAMILTON,ON,63
http://support.supportsinai.com/site/PageServer?pagename=mainsite_frontpage.html,119048106RR0001,SINAI HEALTH FOUNDATION,TORONTO,ON,64
http://www.cfo-fco.ca,119227981RR0001,OTTAWA COMMUNITY FOUNDATION FONDATION COMMUNAUTAIRE D'OTTAWA,OTTAWA,ON,65
https://sitkafoundation.org/,816109417RR0001,THE SITKA FOUNDATION,VANCOUVER,BC,66
https://nicolawealth.com/giving,889542395RR0001,NICOLA WEALTH PRIVATE GIVING FOUNDATION,VANCOUVER,BC,67
https://abundance.ca/,129253308RR0001,ABUNDANCE CANADA,WINNIPEG,MB,68
http://www.canadagives.ca/,833062144RR0001,CANADA GIVES,TORONTO,ON,69
http://jnaf.ca/,838791713RR0001,THE JUDITH & NORMAN ALIX FOUNDATION,SARNIA,ON,71
https://www.ulaval.ca/fondation/accueil.html,119000537RR0001,LA FONDATION DE L'UNIVERSIT� LAVAL,QUEBEC,QC,73
https://www.jimpattison.com/foundation,890952377RR0001,THE JIM PATTISON FOUNDATION,VANCOUVER,BC,74
http://www.patrimoine-religieux.qc.ca/en/home,889369336RR0001,CONSEIL DU PATRIMOINE RELIGIEUX DU QU�BEC QU�BEC RELIGIOUSHERITAGE COUNCIL,MONTREAL,QC,79
https://www.mghfoundation.com/,119000974RR0001,LA FONDATION DE L'H�PITAL G�N�RAL DE MONTR�AL - THE MONTREAL GENERAL HOSPITAL FOUNDATION,MONTREAL,QC,80
http://www.jadeseve.com/,119022929RR0001,FONDATION J. A. DES�VE,MONTREAL,QC,82
https://albertacancer.ca/,118780477RR0001,ALBERTA CANCER FOUNDATION,EDMONTON,AB,83
http://www.asperfoundation.com/,880163720RR0001,THE ASPER FOUNDATION,WINNIPEG,MB,84
https://www.stgeorges.bc.ca/give/endowment-giving,119175511RR0001,ST. GEORGE'S SCHOOL FOUNDATION,VANCOUVER,BC,85
http://www.echofoundation.ca/,130376270RR0001,ECHO FOUNDATION FONDATION �CHO,MONTREAL,QC,86
https://baycrestfoundation.org/,119215242RR0001,THE BAYCREST CENTRE FOUNDATION,TORONTO,ON,87
https://metcalffoundation.com/,118937010RR0001,THE GEORGE CEDRIC METCALF CHARITABLE FOUNDATION,TORONTO,ON,89
http://www.calgaryhealthtrust.ca/,893834697RR0001,CALGARY HEALTH FOUNDATION,CALGARY,AB,91
https://www.universityhospitalfoundation.ab.ca,889003240RR0001,UNIVERSITY HOSPITAL FOUNDATION,EDMONTON,AB,93
http://www.westerngrains.com,105637268RR0001,WESTERN GRAINS RESEARCH FOUNDATION,SASKATOON,SK,96
http://www.lghfoundation.com,119020907RR0001,LIONS GATE HOSPITAL FOUNDATION,NORTH VANCOUVER,BC,97
https://www.sprottfoundation.com/,122988504RR0001,THE SPROTT FOUNDATION,TORONTO,ON,98
http://www.fondationbombardier.ca/en,118923440RR0001,FONDATION J. ARMAND BOMBARDIER- J. ARMAND BOMBARDIER FOUNDATION,VALCOURT,QC,100
http://www.fondationhmr.ca/en/,107391757RR0001,FONDATION DE L'H�PITAL MAISONNEUVE-ROSEMONT,MONTREAL,QC,101
http://www.rhowardwebsterfoundation.ca/,119118487RR0001,R. HOWARD WEBSTER FOUNDATION FONDATION R. HOWARD WEBSTER,MONTREAL,QC,102
https://www.krembilfoundation.ca/,890402167RR0001,THE KREMBIL FOUNDATION,TORONTO,ON,103
http://ohfoundation.ca/,869042747RR0001,THE OTTAWA HOSPITAL FOUNDATION LA FONDATION DE L'HOPITAL D'OTTAWA,OTTAWA,ON,105
https://muhcfoundation.com,868433947RR0001,FONDATION DU CENTRE UNIVERSITAIRE DE SANT� MCGILL MCGILL UNIVERSITY HEALTH CENTRE FOUNDATION,MONTREAL,QC,107
http://childrenfoundation.com,118921543RR0001,LA FONDATION DE L'H�PITAL DE MONTR�AL POUR ENFANTS THE MONTREAL CHILDREN'S HOSPITAL FOUNDATION,MONTREAL,QC,108
http://www.hamiltonhealth.ca,131159543RR0001,HAMILTON HEALTH SCIENCES FOUNDATION,HAMILTON,ON,109
https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/jp-bickell-foundation.html,118975820RR0001,J.P. BICKELL FOUNDATION,TORONTO,ON,110
https://donnerfoundation.org/,129826210RR0001,DONNER CANADIAN FOUNDATION,TORONTO,ON,113
https://www.jewishfoundation.org/,119239317RR0001,THE JEWISH FOUNDATION OF MANITOBA,WINNIPEG,MB,115
http://www.trudeaufoundation.ca/en,895438919RR0001,LA FONDATION PIERRE ELLIOTT TRUDEAU THE PIERRE ELLIOTT TRUDEAU FOUNDATION,MONTREAL,QC,116
http://www.unitedwaytyr.com/,119278216RR0001,UNITED WAY OF GREATER TORONTO,TORONTO,ON,117
https://www.stmichaelscollegeschool.com/support-us/smc-high-school-foundation,816758544RR0001,ST. MICHAEL'S COLLEGE HIGH SCHOOL FOUNDATION,TORONTO,ON,120
http://www.united-church.ca/,108102435RR0003,THE UNITED CHURCH OF CANADA,ETOBICOKE,ON,121
http://www.sinneavefoundation.org,805222759RR0001,THE SINNEAVE FAMILY FOUNDATION,CALGARY,AB,122
http://www.lhsf.ca/,894781475RR0001,LONDON HEALTH SCIENCES FOUNDATION,LONDON,ON,123
https://www.shrinershospitalsforchildren.org/montreal,141013680RR0001,SHRINERS HOSPITALS FOR CHILDREN,MONTREAL,QC,124
https://www.usherbrooke.ca/lafondation/,888188661RR0001,LA FONDATION DE L'UNIVERSITE DE SHERBROOKE - THE FOUNDATION OF THE ''UNIVERSITE DE SHERBROOKE,SHERBROOKE,QC,125
http://www.johnvolkenfoundation.org/,868208893RR0001,THE JOHN VOLKEN FOUNDATION,SURREY,BC,126
https://lawson.ca/,119241727RR0001,THE LAWSON FOUNDATION,TORONTO,ON,127
http://www.rom.on.ca,136282126RR0001,THE ROYAL ONTARIO MUSEUM FOUNDATION,TORONTO,ON,128
http://www.psifoundation.org/,107842726RR0001,PHYSICIANS SERVICES INC FOUNDATION,NORTH YORK,ON,129
http://www.uhkf.ca,820218147RR0001,UNIVERSITY HOSPITALS KINGSTON FOUNDATION,KINGSTON,ON,130
http://www.unitedway.ca/,119278141RR0001,UNITED WAY OF CANADA - CENTRAIDE CANADA,OTTAWA,ON,131
https://www.fondationstejustine.org/en/,118921667RR0001,FONDATION CHU SAINTE-JUSTINE SAINTE-JUSTINE UHC FOUNDATION,MONTREAL,QC,134
http://www.federationcja.org,106702251RR0001,FEDERATION CJA,MONTREAL,QC,135
https://www.ucc.on.ca/about/board-governance-2/ucc-foundation/,119260776RR0001,THE UPPER CANADA COLLEGE FOUNDATION,TORONTO,ON,136
https://ago.ca/,892904368RR0001,THE ART GALLERY OF ONTARIO FOUNDATION,TORONTO,ON,137
http://www.csservices.ca,106920309RR0002,CHRISTIAN STEWARDSHIP SERVICES,MARKHAM,ON,138
http://www.stratfordfestival.ca,872079298RR0001,STRATFORD SHAKESPEAREAN FESTIVAL ENDOWMENT FOUNDATION,STRATFORD,ON,141
http://www.lcf.on.ca/,107641953RR0001,LONDON COMMUNITY FOUNDATION,LONDON,ON,142
https://www.pahfoundation.ca,127311348RR0001,PEACE ARCH HOSPITAL AND COMMUNITY HEALTH FOUNDATION,WHITE ROCK,BC,143
https://theocf.org/,891934374RR0001,OAKVILLE COMMUNITY FOUNDATION,OAKVILLE,ON,144
https://www.lshallmanfdn.org/,876694407RR0001,THE LYLE SHANTZ HALLMAN CHARITABLE FOUNDATION,KITCHENER,ON,145
https://www.roncalli.ca/en/Home,118923374RR0001,FONDATION INTERNATIONALE RONCALLI RONCALLI INTERNATIONAL FOUNDATION,MONTREAL,QC,148
http://www.sjhcfoundation.org,119183390RR0001,ST. JOSEPH'S HEALTH CARE FOUNDATION OF LONDON,LONDON,ON,150
https://www.kwcf.ca/,132170994RR0001,WATERLOO REGION COMMUNITY FOUNDATION,KITCHENER,ON,151
https://trilliumgiving.ca/,119245678RR0001,TRILLIUM HEALTH PARTNERS FOUNDATION,MISSISSAUGA,ON,152